evidence_id,request_id,source_id,claim,excerpt,entity,topic,date,confidence,credibility,recency_score,duplicate_flag,contradiction_flag,validation
ev-00026,req-0406,src-00147,Customer behavior is changing in India,DEMO evidence excerpt: customer behavior is changing in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Maersk,product launches,2026-02-16,0.66,88,56,no,yes,review
ev-00027,req-0340,src-01237,Regulatory requirements are tightening in Southeast Asia,DEMO evidence excerpt: regulatory requirements are tightening in southeast asia based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,PepsiCo,partnerships,2025-01-08,0.93,99,59,no,no,pass
ev-00028,req-0124,src-00925,Technology adoption is expanding in Canada,DEMO evidence excerpt: technology adoption is expanding in canada based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Google Cloud,technology adoption,2024-05-29,0.98,78,90,no,no,pass
ev-00029,req-0224,src-00144,Investment activity increased in Canada,DEMO evidence excerpt: investment activity increased in canada based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Shopify,technology adoption,2026-08-22,0.63,76,91,no,no,review
ev-00030,req-0077,src-01973,The evidence indicates a potential value-leakage theme in Southeast Asia,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in southeast asia based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Toyota,market size,2024-04-10,0.68,65,91,no,yes,pass
ev-00031,req-0025,src-00807,Technology adoption is expanding in Australia,DEMO evidence excerpt: technology adoption is expanding in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Intel,technology adoption,2024-09-30,0.68,94,67,no,no,pass
ev-00032,req-0252,src-01570,Regulatory requirements are tightening in Europe,DEMO evidence excerpt: regulatory requirements are tightening in europe based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Medtronic,market growth,2025-06-23,0.62,65,59,no,no,pass
ev-00033,req-0213,src-01003,Technology adoption is expanding in Global,DEMO evidence excerpt: technology adoption is expanding in global based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,FedEx,regulation,2024-01-28,0.88,60,69,no,no,review
ev-00034,req-0311,src-00571,Working-capital exposure is concentrated in selected segments in Middle East,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in middle east based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Vodafone Idea,operational efficiency,2025-01-17,0.78,75,68,no,no,pass
ev-00035,req-0152,src-01348,Technology adoption is expanding in India,DEMO evidence excerpt: technology adoption is expanding in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,PepsiCo,risk & exposure,2026-01-05,0.64,67,85,no,no,review
ev-00036,req-0103,src-00916,Competitor announced a new partnership in United States,DEMO evidence excerpt: competitor announced a new partnership in united states based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Philips,working capital,2024-02-05,0.98,95,63,no,no,pass
ev-00037,req-0418,src-00885,Technology adoption is expanding in Australia,DEMO evidence excerpt: technology adoption is expanding in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Hyundai,partnerships,2026-05-05,0.8,99,58,no,no,pass
ev-00038,req-0405,src-00779,Operational efficiency is emerging as a value lever in United States,DEMO evidence excerpt: operational efficiency is emerging as a value lever in united states based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Volkswagen,market growth,2024-06-02,0.7,98,86,yes,no,pass
ev-00039,req-0212,src-01904,The evidence indicates a potential value-leakage theme in Japan,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in japan based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,DBS,pricing & demand,2025-10-30,0.7,75,80,no,yes,pass
ev-00040,req-0006,src-00436,Competitor announced a new partnership in Canada,DEMO evidence excerpt: competitor announced a new partnership in canada based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Microsoft,pricing & demand,2024-09-29,0.82,79,55,yes,no,pass
ev-00041,req-0133,src-00569,Supply constraints remain a monitored risk in Australia,DEMO evidence excerpt: supply constraints remain a monitored risk in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Stripe,pricing & demand,2026-02-02,0.87,72,94,no,yes,pass
ev-00042,req-0307,src-01862,Operational efficiency is emerging as a value lever in Global,DEMO evidence excerpt: operational efficiency is emerging as a value lever in global based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Siemens Healthineers,partnerships,2024-05-19,0.59,97,78,no,yes,review
ev-00043,req-0151,src-00860,Competitor announced a new partnership in Canada,DEMO evidence excerpt: competitor announced a new partnership in canada based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Rockwell Automation,value leakage,2026-05-29,0.67,88,93,no,no,review
ev-00044,req-0452,src-01643,Operational efficiency is emerging as a value lever in India,DEMO evidence excerpt: operational efficiency is emerging as a value lever in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Hyundai,market growth,2026-04-21,0.78,84,80,no,no,pass
ev-00045,req-0001,src-00446,Market growth is accelerating in Southeast Asia,DEMO evidence excerpt: market growth is accelerating in southeast asia based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Honeywell,partnerships,2024-11-22,0.87,87,98,yes,no,pass
ev-00046,req-0337,src-00895,Customer behavior is changing in Canada,DEMO evidence excerpt: customer behavior is changing in canada based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Anthropic,risk & exposure,2024-06-12,0.86,82,77,no,no,pass
ev-00047,req-0478,src-02000,Pricing pressure is increasing in United States,DEMO evidence excerpt: pricing pressure is increasing in united states based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,PhonePe,regulation,2025-01-08,0.95,87,81,no,no,pass
ev-00048,req-0053,src-01070,Market growth is accelerating in India,DEMO evidence excerpt: market growth is accelerating in india based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Abbott,working capital,2024-12-24,0.59,84,58,yes,no,review
ev-00049,req-0218,src-01863,Technology adoption is expanding in Global,DEMO evidence excerpt: technology adoption is expanding in global based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,GE HealthCare,supply chain,2025-10-19,0.83,63,83,yes,no,pass
ev-00050,req-0263,src-00256,Customer behavior is changing in Europe,DEMO evidence excerpt: customer behavior is changing in europe based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,FedEx,value leakage,2026-04-22,0.83,73,95,no,no,pass
ev-00051,req-0015,src-01425,The evidence indicates a potential value-leakage theme in United States,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in united states based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Flipkart,regulation,2025-07-28,0.82,71,67,yes,no,pass
ev-00052,req-0090,src-00124,Operational efficiency is emerging as a value lever in United States,DEMO evidence excerpt: operational efficiency is emerging as a value lever in united states based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,NTPC,supply chain,2025-01-12,0.79,78,62,no,no,pass
ev-00053,req-0276,src-01909,The evidence indicates a potential value-leakage theme in Southeast Asia,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in southeast asia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Shopify,market size,2025-10-12,0.73,86,66,no,yes,pass
ev-00054,req-0308,src-01291,Technology adoption is expanding in India,DEMO evidence excerpt: technology adoption is expanding in india based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Anthropic,working capital,2026-07-16,0.9,80,61,no,no,pass
ev-00055,req-0034,src-00572,Demand is shifting toward premium offerings in United Kingdom,DEMO evidence excerpt: demand is shifting toward premium offerings in united kingdom based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Amazon,value leakage,2024-05-29,0.87,63,59,yes,no,review
ev-00056,req-0481,src-01482,The evidence indicates a potential value-leakage theme in Canada,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in canada based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Hyundai,operational efficiency,2024-12-23,0.8,66,74,no,no,review
ev-00057,req-0344,src-01402,The evidence indicates a potential value-leakage theme in Southeast Asia,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in southeast asia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Rockwell Automation,investment trends,2024-04-29,0.77,73,60,yes,no,pass
ev-00058,req-0363,src-01053,Demand is shifting toward premium offerings in India,DEMO evidence excerpt: demand is shifting toward premium offerings in india based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Volkswagen,risk & exposure,2026-02-19,0.75,78,97,no,yes,pass
ev-00059,req-0164,src-01764,Customer behavior is changing in United Kingdom,DEMO evidence excerpt: customer behavior is changing in united kingdom based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Siemens Gamesa,working capital,2024-10-27,0.84,90,72,no,no,pass
ev-00060,req-0275,src-01800,Operational efficiency is emerging as a value lever in Middle East,DEMO evidence excerpt: operational efficiency is emerging as a value lever in middle east based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Intel,product launches,2024-08-25,0.9,74,60,yes,yes,pass
ev-00061,req-0044,src-01223,Competitor announced a new partnership in India,DEMO evidence excerpt: competitor announced a new partnership in india based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,UPS,technology adoption,2024-10-06,0.78,91,71,no,no,pass
ev-00062,req-0043,src-00906,Regulatory requirements are tightening in Europe,DEMO evidence excerpt: regulatory requirements are tightening in europe based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Google,competitor movement,2025-02-27,0.84,93,79,yes,yes,pass
ev-00063,req-0482,src-01320,Pricing pressure is increasing in India,DEMO evidence excerpt: pricing pressure is increasing in india based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Coca-Cola,competitor movement,2025-11-16,0.68,90,94,no,no,pass
ev-00064,req-0327,src-00754,The evidence indicates a potential value-leakage theme in India,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in india based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,CrowdStrike,product launches,2026-03-21,0.89,93,80,yes,yes,pass
ev-00065,req-0481,src-00612,Competitor announced a new partnership in Canada,DEMO evidence excerpt: competitor announced a new partnership in canada based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Hyundai,pricing & demand,2025-08-23,0.73,82,99,no,no,pass
ev-00066,req-0429,src-00277,The evidence indicates a potential value-leakage theme in Japan,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in japan based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,ICICI Bank,working capital,2025-07-17,0.93,63,55,no,no,review
ev-00067,req-0400,src-00338,Investment activity increased in Australia,DEMO evidence excerpt: investment activity increased in australia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Siemens,supply chain,2025-03-28,0.94,83,85,no,no,pass
ev-00068,req-0020,src-00626,Supply constraints remain a monitored risk in Australia,DEMO evidence excerpt: supply constraints remain a monitored risk in australia based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,HSBC,partnerships,2025-08-29,0.87,98,77,yes,no,pass
ev-00069,req-0296,src-00980,Supply constraints remain a monitored risk in India,DEMO evidence excerpt: supply constraints remain a monitored risk in india based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,ICICI Bank,partnerships,2024-02-24,0.65,68,83,no,no,review
ev-00070,req-0102,src-00984,Supply constraints remain a monitored risk in Europe,DEMO evidence excerpt: supply constraints remain a monitored risk in europe based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Maersk,risk & exposure,2025-10-05,0.86,95,85,no,no,pass
ev-00071,req-0098,src-01969,Operational efficiency is emerging as a value lever in United Kingdom,DEMO evidence excerpt: operational efficiency is emerging as a value lever in united kingdom based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Intel,operational efficiency,2024-08-02,0.69,97,93,no,no,pass
ev-00072,req-0368,src-00310,Supply constraints remain a monitored risk in Europe,DEMO evidence excerpt: supply constraints remain a monitored risk in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Vestas,customer behavior,2024-07-31,0.86,93,62,no,no,pass
ev-00073,req-0082,src-00597,Market growth is accelerating in Canada,DEMO evidence excerpt: market growth is accelerating in canada based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,ABB,value leakage,2024-07-20,0.94,84,77,no,yes,pass
ev-00074,req-0092,src-01389,Working-capital exposure is concentrated in selected segments in India,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in india based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,BMW,value leakage,2024-02-08,0.91,89,57,no,yes,pass
ev-00075,req-0284,src-01775,Regulatory requirements are tightening in United Kingdom,DEMO evidence excerpt: regulatory requirements are tightening in united kingdom based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Verizon,partnerships,2024-02-02,0.85,91,55,no,yes,pass
ev-00076,req-0361,src-00878,Supply constraints remain a monitored risk in United States,DEMO evidence excerpt: supply constraints remain a monitored risk in united states based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,PepsiCo,regulation,2025-01-08,0.82,66,99,no,yes,pass
ev-00077,req-0031,src-01380,Customer behavior is changing in Southeast Asia,DEMO evidence excerpt: customer behavior is changing in southeast asia based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Google,competitor movement,2026-08-10,0.96,91,64,no,no,pass
ev-00078,req-0118,src-00944,Pricing pressure is increasing in Australia,DEMO evidence excerpt: pricing pressure is increasing in australia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Alibaba,working capital,2025-01-11,0.93,80,74,yes,no,pass
ev-00079,req-0058,src-01270,Supply constraints remain a monitored risk in Global,DEMO evidence excerpt: supply constraints remain a monitored risk in global based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Unilever,value leakage,2026-08-26,0.66,79,87,yes,no,pass
ev-00080,req-0465,src-00809,Operational efficiency is emerging as a value lever in Japan,DEMO evidence excerpt: operational efficiency is emerging as a value lever in japan based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Toyota,working capital,2025-07-02,0.9,84,65,yes,no,pass
ev-00081,req-0250,src-01526,Demand is shifting toward premium offerings in Japan,DEMO evidence excerpt: demand is shifting toward premium offerings in japan based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Intel,working capital,2025-08-29,0.67,67,93,no,yes,pass
ev-00082,req-0342,src-01466,Pricing pressure is increasing in Japan,DEMO evidence excerpt: pricing pressure is increasing in japan based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Adyen,value leakage,2025-09-16,0.64,63,58,no,no,pass
ev-00083,req-0428,src-01604,Working-capital exposure is concentrated in selected segments in Japan,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in japan based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Tesla,operational efficiency,2026-01-12,0.91,62,73,no,no,review
ev-00084,req-0158,src-00142,Regulatory requirements are tightening in Southeast Asia,DEMO evidence excerpt: regulatory requirements are tightening in southeast asia based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Schneider Electric,partnerships,2024-06-14,0.94,88,65,yes,no,pass
ev-00085,req-0481,src-01628,Working-capital exposure is concentrated in selected segments in Canada,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in canada based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Tata Motors,regulation,2025-05-19,0.96,88,67,no,no,pass
ev-00086,req-0285,src-00228,Technology adoption is expanding in Global,DEMO evidence excerpt: technology adoption is expanding in global based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Maersk,customer behavior,2025-06-11,0.96,93,60,no,yes,pass
ev-00087,req-0459,src-00212,Technology adoption is expanding in United States,DEMO evidence excerpt: technology adoption is expanding in united states based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Schneider Electric,product launches,2025-08-09,0.73,71,96,no,no,pass
ev-00088,req-0492,src-00913,Demand is shifting toward premium offerings in United States,DEMO evidence excerpt: demand is shifting toward premium offerings in united states based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Tata Motors,investment trends,2025-04-17,0.85,75,92,no,no,pass
ev-00089,req-0386,src-00209,Pricing pressure is increasing in Global,DEMO evidence excerpt: pricing pressure is increasing in global based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Anthropic,market growth,2026-07-11,0.82,71,95,no,no,pass
ev-00090,req-0031,src-00283,Market growth is accelerating in Southeast Asia,DEMO evidence excerpt: market growth is accelerating in southeast asia based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,OpenAI,technology adoption,2024-07-12,0.64,60,67,yes,yes,pass
ev-00091,req-0426,src-00391,Competitor announced a new partnership in India,DEMO evidence excerpt: competitor announced a new partnership in india based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,PayPal,regulation,2024-03-30,0.7,60,98,no,no,review
ev-00092,req-0073,src-01888,Regulatory requirements are tightening in Middle East,DEMO evidence excerpt: regulatory requirements are tightening in middle east based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,UPS,operational efficiency,2025-11-09,0.91,85,88,no,no,pass
ev-00093,req-0131,src-00094,Customer behavior is changing in Global,DEMO evidence excerpt: customer behavior is changing in global based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,ICICI Bank,investment trends,2025-05-10,0.64,61,88,yes,no,pass
ev-00094,req-0193,src-01906,Working-capital exposure is concentrated in selected segments in Australia,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in australia based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Microsoft,partnerships,2025-07-25,0.74,92,75,no,no,pass
ev-00095,req-0017,src-01025,Supply constraints remain a monitored risk in Australia,DEMO evidence excerpt: supply constraints remain a monitored risk in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,DP World,technology adoption,2025-07-18,0.63,68,96,yes,yes,review
ev-00096,req-0004,src-00552,Pricing pressure is increasing in United States,DEMO evidence excerpt: pricing pressure is increasing in united states based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Oracle,technology adoption,2024-07-03,0.98,72,68,no,no,pass
ev-00097,req-0475,src-00767,Investment activity increased in Middle East,DEMO evidence excerpt: investment activity increased in middle east based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Google Cloud,risk & exposure,2024-04-29,0.64,69,82,no,yes,review
ev-00098,req-0018,src-01351,Competitor announced a new partnership in Middle East,DEMO evidence excerpt: competitor announced a new partnership in middle east based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Microsoft,risk & exposure,2025-04-09,0.73,78,92,yes,no,pass
ev-00099,req-0350,src-01480,Technology adoption is expanding in Canada,DEMO evidence excerpt: technology adoption is expanding in canada based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,HDFC Bank,partnerships,2024-12-04,0.83,63,80,no,yes,review
ev-00100,req-0429,src-01530,Demand is shifting toward premium offerings in Japan,DEMO evidence excerpt: demand is shifting toward premium offerings in japan based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,HDFC Bank,competitor movement,2025-10-18,0.9,90,76,no,yes,pass
ev-00101,req-0480,src-01186,Customer behavior is changing in United Kingdom,DEMO evidence excerpt: customer behavior is changing in united kingdom based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Stripe,pricing & demand,2025-08-30,0.82,86,62,yes,no,pass
ev-00102,req-0455,src-00057,The evidence indicates a potential value-leakage theme in Global,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in global based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Reliance Jio,supply chain,2026-03-05,0.67,78,97,no,no,review
ev-00103,req-0497,src-01141,Working-capital exposure is concentrated in selected segments in Europe,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in europe based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,JPMorgan Chase,risk & exposure,2026-05-09,0.87,73,57,no,no,pass
ev-00104,req-0440,src-00068,Investment activity increased in Global,DEMO evidence excerpt: investment activity increased in global based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Anthropic,partnerships,2025-11-21,0.92,61,87,yes,no,pass
ev-00105,req-0492,src-01946,The evidence indicates a potential value-leakage theme in United States,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in united states based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Mahindra,competitor movement,2025-10-22,0.72,96,56,no,no,pass
ev-00106,req-0234,src-00236,Technology adoption is expanding in Canada,DEMO evidence excerpt: technology adoption is expanding in canada based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,TSMC,partnerships,2026-02-18,0.96,64,87,no,no,pass
ev-00107,req-0072,src-01067,Customer behavior is changing in Japan,DEMO evidence excerpt: customer behavior is changing in japan based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Adani Green,value leakage,2024-12-27,0.82,97,74,no,no,pass
ev-00108,req-0245,src-00846,Pricing pressure is increasing in Australia,DEMO evidence excerpt: pricing pressure is increasing in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,BMW,working capital,2026-04-10,0.72,75,77,no,no,pass
ev-00109,req-0287,src-01126,Investment activity increased in Japan,DEMO evidence excerpt: investment activity increased in japan based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Vestas,value leakage,2024-12-20,0.83,70,58,no,no,pass
ev-00110,req-0488,src-01299,Working-capital exposure is concentrated in selected segments in United States,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in united states based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,PepsiCo,investment trends,2024-07-19,0.86,80,83,yes,yes,pass
ev-00111,req-0492,src-01772,Technology adoption is expanding in United States,DEMO evidence excerpt: technology adoption is expanding in united states based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Tata Motors,supply chain,2024-08-01,0.67,90,90,no,yes,pass
