request_id,query,market,geography,timeframe,competitors,output_format,report_depth,status
req-0034,"Monitor e-commerce trends, risks and strategic implications for United Kingdom",E-commerce,United Kingdom,2024-2026,"Flipkart, Walmart, Alibaba, Shopify, Amazon",workshop,deep dive,completed
req-0035,Evaluate logistics market entry and growth opportunities in Europe,Logistics,Europe,2025-2026,"DHL, UPS, Maersk, FedEx, DP World",proposal,detailed,completed
req-0036,Evaluate banking market entry and growth opportunities in Japan,Banking,Japan,2022-2026,"HDFC Bank, ICICI Bank",workshop,deep dive,completed
req-0037,Assess e-commerce product launches in Japan from 2022 to 2026,E-commerce,Japan,2022-2026,"Amazon, Alibaba, Shopify, Flipkart",proposal,standard,completed
req-0038,"Monitor renewable energy trends, risks and strategic implications for Europe",Renewable Energy,Europe,2025-2026,"ReNew, Vestas, NTPC, Siemens Gamesa",strategy brief,standard,pending
req-0039,Assess semiconductors market growth in Europe from 2025 to 2026,Semiconductors,Europe,2025-2026,"AMD, TSMC, NVIDIA, Intel",strategy brief,standard,completed
req-0040,"Monitor e-commerce trends, risks and strategic implications for Japan",E-commerce,Japan,2023-2026,"Walmart, Amazon, Shopify",proposal,deep dive,completed
req-0041,Evaluate renewable energy market entry and growth opportunities in Europe,Renewable Energy,Europe,2025-2026,"Adani Green, ReNew, Siemens Gamesa, Vestas, NTPC",internal review,standard,pending
req-0042,Evaluate cybersecurity market entry and growth opportunities in Canada,Cybersecurity,Canada,2025-2026,"Fortinet, Cisco, CrowdStrike",strategy brief,standard,pending
req-0043,Evaluate generative ai market entry and growth opportunities in Europe,Generative AI,Europe,2022-2026,"Google, OpenAI, Microsoft, Meta, Anthropic",strategy brief,deep dive,completed
req-0044,"Monitor logistics trends, risks and strategic implications for India",Logistics,India,2025-2026,"DP World, FedEx, DHL, Maersk, UPS",strategy brief,standard,pending
req-0045,Analyze generative ai competitive landscape and technology adoption in United States,Generative AI,United States,2025-2026,"Google, Meta, Anthropic, Microsoft, OpenAI",workshop,detailed,completed
req-0046,Evaluate banking market entry and growth opportunities in United Kingdom,Banking,United Kingdom,2022-2026,"HDFC Bank, HSBC, DBS, JPMorgan Chase",proposal,deep dive,pending
req-0047,Analyze banking competitive landscape and investment trends in Southeast Asia,Banking,Southeast Asia,2022-2026,"HDFC Bank, ICICI Bank, JPMorgan Chase",internal review,standard,completed
req-0048,"Monitor logistics trends, risks and strategic implications for Middle East",Logistics,Middle East,2024-2026,"DHL, Maersk, UPS, FedEx",internal review,detailed,completed
req-0049,"Monitor healthcare technology trends, risks and strategic implications for Japan",Healthcare Technology,Japan,2024-2026,"Medtronic, Philips, Siemens Healthineers",strategy brief,standard,completed
req-0050,Evaluate automotive market entry and growth opportunities in United Kingdom,Automotive,United Kingdom,2025-2026,"Tesla, BMW, Toyota",internal review,standard,completed
req-0051,"Monitor healthcare technology trends, risks and strategic implications for India",Healthcare Technology,India,2024-2026,"Abbott, GE HealthCare, Medtronic, Siemens Healthineers",workshop,standard,completed
req-0052,"Monitor cloud computing trends, risks and strategic implications for United States",Cloud Computing,United States,2022-2026,"IBM, Microsoft Azure, Oracle",internal review,standard,running
req-0053,Analyze healthcare technology competitive landscape and market size in India,Healthcare Technology,India,2022-2026,"Medtronic, Abbott, Siemens Healthineers, Philips, GE HealthCare",strategy brief,detailed,pending
req-0054,"Monitor banking trends, risks and strategic implications for United States",Banking,United States,2024-2026,"JPMorgan Chase, HDFC Bank, HSBC, ICICI Bank, DBS",internal review,deep dive,completed
req-0055,Analyze cloud computing competitive landscape and value leakage in India,Cloud Computing,India,2024-2026,"IBM, Google Cloud, Oracle, AWS, Microsoft Azure",proposal,standard,completed
req-0056,Analyze semiconductors competitive landscape and regulation in Southeast Asia,Semiconductors,Southeast Asia,2022-2026,"AMD, NVIDIA, TSMC, Samsung, Intel",strategy brief,standard,completed
req-0057,Assess cloud computing customer behavior in Southeast Asia from 2025 to 2026,Cloud Computing,Southeast Asia,2025-2026,"Microsoft Azure, Google Cloud, Oracle, IBM",internal review,deep dive,completed
req-0058,Analyze consumer goods competitive landscape and supply chain in Global,Consumer Goods,Global,2025-2026,"Unilever, Coca-Cola",internal review,standard,completed
req-0059,"Monitor banking trends, risks and strategic implications for Europe",Banking,Europe,2023-2026,"HDFC Bank, ICICI Bank, JPMorgan Chase, HSBC",workshop,deep dive,completed
req-0060,Assess banking risk & exposure in United Kingdom from 2023 to 2026,Banking,United Kingdom,2023-2026,"ICICI Bank, DBS",proposal,standard,completed
req-0061,Evaluate electric vehicles market entry and growth opportunities in Middle East,Electric Vehicles,Middle East,2025-2026,"Mahindra, MG Motor India, BYD, Tata Motors, Hyundai",strategy brief,detailed,pending
req-0062,Analyze healthcare technology competitive landscape and customer behavior in India,Healthcare Technology,India,2025-2026,"Philips, Medtronic, GE HealthCare, Abbott, Siemens Healthineers",strategy brief,standard,running
req-0063,"Monitor consumer goods trends, risks and strategic implications for India",Consumer Goods,India,2023-2026,"Nestle, P&G, PepsiCo, Coca-Cola, Unilever",proposal,standard,pending
req-0064,Assess semiconductors market growth in Canada from 2025 to 2026,Semiconductors,Canada,2025-2026,"Intel, NVIDIA, TSMC, AMD",workshop,standard,completed
req-0065,Assess automotive pricing & demand in Global from 2025 to 2026,Automotive,Global,2025-2026,"Toyota, BMW, Volkswagen",proposal,deep dive,completed
req-0066,Evaluate consumer goods market entry and growth opportunities in United States,Consumer Goods,United States,2022-2026,"PepsiCo, Nestle, P&G, Coca-Cola",strategy brief,deep dive,completed
req-0067,Evaluate semiconductors market entry and growth opportunities in Southeast Asia,Semiconductors,Southeast Asia,2022-2026,"Samsung, NVIDIA, AMD, TSMC",strategy brief,standard,completed
req-0068,Evaluate cloud computing market entry and growth opportunities in Global,Cloud Computing,Global,2023-2026,"Microsoft Azure, IBM, AWS, Google Cloud",proposal,standard,completed
req-0069,Assess cybersecurity working capital in Japan from 2024 to 2026,Cybersecurity,Japan,2024-2026,"CrowdStrike, Microsoft",internal review,detailed,completed
req-0070,"Monitor semiconductors trends, risks and strategic implications for Canada",Semiconductors,Canada,2025-2026,"NVIDIA, TSMC, Intel, AMD, Samsung",workshop,detailed,pending
req-0071,Analyze cloud computing competitive landscape and product launches in India,Cloud Computing,India,2023-2026,"Microsoft Azure, Oracle, AWS, Google Cloud",workshop,detailed,running
req-0072,"Monitor renewable energy trends, risks and strategic implications for Japan",Renewable Energy,Japan,2022-2026,"Adani Green, Siemens Gamesa",proposal,detailed,completed
req-0073,Evaluate logistics market entry and growth opportunities in Middle East,Logistics,Middle East,2025-2026,"UPS, Maersk, FedEx, DP World",proposal,detailed,running
req-0074,Analyze e-commerce competitive landscape and customer behavior in Global,E-commerce,Global,2022-2026,"Shopify, Walmart, Amazon",strategy brief,detailed,completed
req-0075,"Monitor semiconductors trends, risks and strategic implications for India",Semiconductors,India,2023-2026,"AMD, Intel",proposal,standard,completed
req-0076,Analyze cloud computing competitive landscape and operational efficiency in Japan,Cloud Computing,Japan,2025-2026,"Microsoft Azure, AWS, Google Cloud, Oracle",strategy brief,deep dive,completed
req-0077,"Monitor automotive trends, risks and strategic implications for Southeast Asia",Automotive,Southeast Asia,2023-2026,"Tesla, Toyota, Hyundai",workshop,standard,completed
req-0078,"Monitor automotive trends, risks and strategic implications for United States",Automotive,United States,2025-2026,"Volkswagen, BMW, Hyundai, Toyota",strategy brief,deep dive,completed
req-0079,Assess cloud computing regulation in United States from 2024 to 2026,Cloud Computing,United States,2024-2026,"Google Cloud, AWS, Oracle",strategy brief,deep dive,completed
req-0080,"Monitor logistics trends, risks and strategic implications for Europe",Logistics,Europe,2022-2026,"Maersk, DHL, FedEx",workshop,deep dive,completed
req-0081,Evaluate generative ai market entry and growth opportunities in Global,Generative AI,Global,2022-2026,"Google, Meta, Anthropic, OpenAI, Microsoft",proposal,detailed,pending
req-0082,"Monitor industrial automation trends, risks and strategic implications for Canada",Industrial Automation,Canada,2023-2026,"Siemens, Rockwell Automation",workshop,standard,completed
req-0083,Assess consumer goods operational efficiency in Canada from 2024 to 2026,Consumer Goods,Canada,2024-2026,"P&G, Unilever, PepsiCo",proposal,detailed,pending
req-0084,Analyze automotive competitive landscape and operational efficiency in United Kingdom,Automotive,United Kingdom,2022-2026,"BMW, Toyota, Hyundai, Tesla, Volkswagen",proposal,standard,completed
req-0085,"Monitor industrial automation trends, risks and strategic implications for India",Industrial Automation,India,2023-2026,"Rockwell Automation, ABB",workshop,detailed,running
req-0086,Assess healthcare technology market size in United Kingdom from 2024 to 2026,Healthcare Technology,United Kingdom,2024-2026,"GE HealthCare, Abbott, Medtronic, Siemens Healthineers, Philips",internal review,standard,completed
req-0087,Analyze e-commerce competitive landscape and technology adoption in Europe,E-commerce,Europe,2023-2026,"Amazon, Walmart, Shopify, Flipkart, Alibaba",workshop,deep dive,completed
req-0088,Evaluate cloud computing market entry and growth opportunities in Canada,Cloud Computing,Canada,2022-2026,"Oracle, IBM, Microsoft Azure",internal review,deep dive,completed
req-0089,"Monitor healthcare technology trends, risks and strategic implications for Global",Healthcare Technology,Global,2025-2026,"GE HealthCare, Philips, Medtronic",proposal,standard,pending
req-0090,Analyze renewable energy competitive landscape and working capital in United States,Renewable Energy,United States,2022-2026,"Siemens Gamesa, Vestas",strategy brief,detailed,running
req-0091,Evaluate generative ai market entry and growth opportunities in Japan,Generative AI,Japan,2022-2026,"Microsoft, Google, OpenAI, Meta, Anthropic",proposal,detailed,pending
req-0092,Evaluate automotive market entry and growth opportunities in India,Automotive,India,2025-2026,"Hyundai, Volkswagen",strategy brief,deep dive,completed
req-0093,Analyze renewable energy competitive landscape and supply chain in Australia,Renewable Energy,Australia,2023-2026,"ReNew, Adani Green",strategy brief,detailed,completed
req-0094,Analyze e-commerce competitive landscape and working capital in United Kingdom,E-commerce,United Kingdom,2022-2026,"Shopify, Amazon, Alibaba, Walmart, Flipkart",strategy brief,standard,pending
req-0095,Evaluate fintech market entry and growth opportunities in India,FinTech,India,2023-2026,"Razorpay, Adyen, Stripe, PayPal",workshop,deep dive,running
req-0096,Evaluate cybersecurity market entry and growth opportunities in Middle East,Cybersecurity,Middle East,2022-2026,"Fortinet, Microsoft",strategy brief,standard,completed
req-0097,"Monitor banking trends, risks and strategic implications for Australia",Banking,Australia,2024-2026,"JPMorgan Chase, DBS, ICICI Bank, HSBC, HDFC Bank",strategy brief,detailed,completed
req-0098,Evaluate semiconductors market entry and growth opportunities in United Kingdom,Semiconductors,United Kingdom,2025-2026,"NVIDIA, TSMC",workshop,standard,running
req-0099,Analyze e-commerce competitive landscape and investment trends in Japan,E-commerce,Japan,2022-2026,"Walmart, Alibaba, Shopify, Amazon",strategy brief,deep dive,completed
req-0100,Assess renewable energy competitor movement in Canada from 2023 to 2026,Renewable Energy,Canada,2023-2026,"Vestas, ReNew",proposal,detailed,completed
req-0101,Analyze cloud computing competitive landscape and risk & exposure in India,Cloud Computing,India,2024-2026,"Microsoft Azure, AWS",internal review,standard,completed
req-0102,Evaluate logistics market entry and growth opportunities in Europe,Logistics,Europe,2023-2026,"DP World, Maersk",proposal,deep dive,running
req-0103,Assess healthcare technology competitor movement in United States from 2025 to 2026,Healthcare Technology,United States,2025-2026,"Medtronic, Philips",proposal,detailed,completed
req-0104,Analyze e-commerce competitive landscape and partnerships in United States,E-commerce,United States,2023-2026,"Amazon, Flipkart",workshop,standard,completed
req-0105,Assess renewable energy pricing & demand in Japan from 2023 to 2026,Renewable Energy,Japan,2023-2026,"NTPC, Vestas",internal review,deep dive,completed
req-0106,"Monitor renewable energy trends, risks and strategic implications for United Kingdom",Renewable Energy,United Kingdom,2025-2026,"Siemens Gamesa, Adani Green",internal review,standard,running
req-0107,"Monitor cloud computing trends, risks and strategic implications for Japan",Cloud Computing,Japan,2025-2026,"Google Cloud, Oracle, AWS, Microsoft Azure",strategy brief,standard,pending
req-0108,"Monitor banking trends, risks and strategic implications for Japan",Banking,Japan,2022-2026,"DBS, JPMorgan Chase, ICICI Bank, HSBC",proposal,standard,completed
req-0109,"Monitor healthcare technology trends, risks and strategic implications for India",Healthcare Technology,India,2022-2026,"Medtronic, Abbott, Siemens Healthineers, GE HealthCare",strategy brief,deep dive,completed
req-0110,Assess e-commerce market size in Middle East from 2023 to 2026,E-commerce,Middle East,2023-2026,"Shopify, Walmart, Alibaba",internal review,detailed,completed
req-0111,"Monitor generative ai trends, risks and strategic implications for Japan",Generative AI,Japan,2023-2026,"Microsoft, Google, Meta",strategy brief,deep dive,completed
req-0112,Analyze electric vehicles competitive landscape and market size in Australia,Electric Vehicles,Australia,2025-2026,"MG Motor India, BYD, Hyundai, Tata Motors, Mahindra",workshop,deep dive,completed
req-0113,Evaluate industrial automation market entry and growth opportunities in India,Industrial Automation,India,2023-2026,"ABB, Siemens",proposal,deep dive,completed
req-0114,Assess automotive market growth in India from 2025 to 2026,Automotive,India,2025-2026,"Hyundai, Volkswagen, Toyota, BMW",workshop,deep dive,completed
req-0115,"Monitor generative ai trends, risks and strategic implications for United States",Generative AI,United States,2022-2026,"Anthropic, Google, Microsoft",workshop,deep dive,running
req-0116,"Monitor healthcare technology trends, risks and strategic implications for Europe",Healthcare Technology,Europe,2023-2026,"Philips, Abbott",strategy brief,standard,completed
req-0117,"Monitor automotive trends, risks and strategic implications for Southeast Asia",Automotive,Southeast Asia,2022-2026,"Toyota, BMW, Volkswagen, Tesla",strategy brief,deep dive,completed
req-0118,"Monitor e-commerce trends, risks and strategic implications for Australia",E-commerce,Australia,2025-2026,"Shopify, Alibaba, Walmart, Amazon, Flipkart",workshop,detailed,completed
req-0119,"Monitor automotive trends, risks and strategic implications for Southeast Asia",Automotive,Southeast Asia,2025-2026,"Volkswagen, Toyota",strategy brief,detailed,completed
req-0120,"Monitor e-commerce trends, risks and strategic implications for Japan",E-commerce,Japan,2022-2026,"Shopify, Amazon, Walmart, Flipkart",internal review,detailed,running
req-0121,Assess semiconductors risk & exposure in Canada from 2024 to 2026,Semiconductors,Canada,2024-2026,"AMD, NVIDIA",internal review,standard,pending
req-0122,Assess fintech regulation in Global from 2023 to 2026,FinTech,Global,2023-2026,"PayPal, PhonePe, Adyen, Stripe, Razorpay",workshop,detailed,completed
req-0123,Analyze generative ai competitive landscape and market size in Japan,Generative AI,Japan,2024-2026,"OpenAI, Meta, Google",workshop,deep dive,running
req-0124,"Monitor cloud computing trends, risks and strategic implications for Canada",Cloud Computing,Canada,2024-2026,"Oracle, Google Cloud, Microsoft Azure, AWS, IBM",internal review,detailed,running
req-0125,Assess banking market growth in Japan from 2023 to 2026,Banking,Japan,2023-2026,"HSBC, HDFC Bank, DBS, JPMorgan Chase",internal review,deep dive,pending
req-0126,Assess e-commerce market growth in Australia from 2022 to 2026,E-commerce,Australia,2022-2026,"Walmart, Alibaba, Amazon",strategy brief,deep dive,completed
req-0127,Assess generative ai regulation in India from 2023 to 2026,Generative AI,India,2023-2026,"Microsoft, Meta",internal review,standard,completed
req-0128,Analyze semiconductors competitive landscape and operational efficiency in United States,Semiconductors,United States,2025-2026,"AMD, NVIDIA",workshop,detailed,running
req-0129,"Monitor banking trends, risks and strategic implications for Southeast Asia",Banking,Southeast Asia,2022-2026,"DBS, HSBC, HDFC Bank, JPMorgan Chase, ICICI Bank",internal review,standard,completed
req-0130,Evaluate renewable energy market entry and growth opportunities in Middle East,Renewable Energy,Middle East,2023-2026,"Siemens Gamesa, Adani Green, ReNew, NTPC, Vestas",workshop,deep dive,completed
req-0131,"Monitor banking trends, risks and strategic implications for Global",Banking,Global,2025-2026,"HSBC, HDFC Bank, JPMorgan Chase, DBS, ICICI Bank",internal review,detailed,pending
req-0132,Analyze automotive competitive landscape and pricing & demand in Europe,Automotive,Europe,2025-2026,"Hyundai, Volkswagen, Toyota, Tesla, BMW",strategy brief,deep dive,pending
req-0133,Evaluate fintech market entry and growth opportunities in Australia,FinTech,Australia,2022-2026,"Adyen, Razorpay, PayPal, Stripe, PhonePe",workshop,standard,completed
req-0134,Analyze cloud computing competitive landscape and customer behavior in Europe,Cloud Computing,Europe,2023-2026,"AWS, IBM",workshop,detailed,running
req-0135,Analyze fintech competitive landscape and regulation in United States,FinTech,United States,2022-2026,"Stripe, PhonePe",proposal,standard,completed
req-0136,"Monitor automotive trends, risks and strategic implications for Japan",Automotive,Japan,2022-2026,"Toyota, Hyundai, BMW, Volkswagen, Tesla",workshop,deep dive,pending
req-0137,"Monitor healthcare technology trends, risks and strategic implications for Canada",Healthcare Technology,Canada,2024-2026,"Abbott, Medtronic, Siemens Healthineers, Philips",internal review,standard,running
req-0138,"Monitor generative ai trends, risks and strategic implications for Europe",Generative AI,Europe,2024-2026,"Microsoft, OpenAI, Anthropic",internal review,detailed,pending
req-0139,Assess electric vehicles market size in Global from 2025 to 2026,Electric Vehicles,Global,2025-2026,"Mahindra, MG Motor India, BYD, Tata Motors, Hyundai",internal review,standard,completed
req-0140,Evaluate renewable energy market entry and growth opportunities in Australia,Renewable Energy,Australia,2025-2026,"Siemens Gamesa, Vestas, NTPC, Adani Green",workshop,detailed,completed
req-0141,Analyze consumer goods competitive landscape and investment trends in Southeast Asia,Consumer Goods,Southeast Asia,2024-2026,"Nestle, PepsiCo, P&G, Coca-Cola",proposal,detailed,completed
req-0142,"Monitor healthcare technology trends, risks and strategic implications for United States",Healthcare Technology,United States,2025-2026,"Medtronic, GE HealthCare",strategy brief,detailed,completed
req-0143,Assess banking market size in Global from 2024 to 2026,Banking,Global,2024-2026,"HSBC, ICICI Bank, DBS, HDFC Bank",workshop,deep dive,pending
req-0144,Analyze industrial automation competitive landscape and investment trends in India,Industrial Automation,India,2023-2026,"Honeywell, Schneider Electric, ABB, Rockwell Automation, Siemens",strategy brief,standard,completed
req-0145,Evaluate telecom market entry and growth opportunities in Australia,Telecom,Australia,2022-2026,"Reliance Jio, Verizon, AT&T, Vodafone Idea",strategy brief,detailed,running
req-0146,"Monitor telecom trends, risks and strategic implications for United States",Telecom,United States,2025-2026,"Reliance Jio, Vodafone Idea, Bharti Airtel",strategy brief,standard,completed
req-0147,Evaluate cloud computing market entry and growth opportunities in India,Cloud Computing,India,2024-2026,"Google Cloud, IBM, Oracle",internal review,standard,pending
req-0148,Evaluate healthcare technology market entry and growth opportunities in Canada,Healthcare Technology,Canada,2024-2026,"Abbott, Medtronic, GE HealthCare, Siemens Healthineers, Philips",workshop,detailed,pending
req-0149,Assess renewable energy competitor movement in United Kingdom from 2025 to 2026,Renewable Energy,United Kingdom,2025-2026,"NTPC, Vestas, ReNew, Adani Green, Siemens Gamesa",strategy brief,deep dive,completed
req-0150,"Monitor logistics trends, risks and strategic implications for Global",Logistics,Global,2024-2026,"FedEx, DHL, UPS, Maersk",workshop,standard,pending
req-0151,Evaluate industrial automation market entry and growth opportunities in Canada,Industrial Automation,Canada,2025-2026,"ABB, Schneider Electric, Honeywell, Rockwell Automation",strategy brief,deep dive,pending
req-0152,Analyze consumer goods competitive landscape and market size in India,Consumer Goods,India,2024-2026,"P&G, Coca-Cola, Unilever, PepsiCo",workshop,deep dive,pending
req-0153,"Monitor e-commerce trends, risks and strategic implications for Southeast Asia",E-commerce,Southeast Asia,2024-2026,"Alibaba, Amazon, Walmart, Flipkart, Shopify",proposal,deep dive,completed
req-0154,Analyze e-commerce competitive landscape and value leakage in United States,E-commerce,United States,2024-2026,"Shopify, Amazon, Flipkart, Walmart, Alibaba",proposal,standard,completed
req-0155,"Monitor electric vehicles trends, risks and strategic implications for United States",Electric Vehicles,United States,2023-2026,"Tata Motors, Hyundai, BYD, Mahindra, MG Motor India",internal review,deep dive,completed
req-0156,Assess banking operational efficiency in United States from 2023 to 2026,Banking,United States,2023-2026,"JPMorgan Chase, HSBC, DBS, ICICI Bank",workshop,deep dive,completed
req-0157,Analyze e-commerce competitive landscape and partnerships in Canada,E-commerce,Canada,2023-2026,"Walmart, Shopify, Amazon, Alibaba",strategy brief,deep dive,completed
req-0158,Assess industrial automation value leakage in Southeast Asia from 2024 to 2026,Industrial Automation,Southeast Asia,2024-2026,"Siemens, Honeywell, Rockwell Automation, Schneider Electric, ABB",workshop,deep dive,pending
req-0159,Analyze electric vehicles competitive landscape and supply chain in Australia,Electric Vehicles,Australia,2025-2026,"Hyundai, Tata Motors, BYD, MG Motor India, Mahindra",workshop,standard,completed
req-0160,Evaluate electric vehicles market entry and growth opportunities in United States,Electric Vehicles,United States,2024-2026,"Tata Motors, BYD, Hyundai",strategy brief,deep dive,completed
req-0161,Assess cloud computing technology adoption in United States from 2025 to 2026,Cloud Computing,United States,2025-2026,"AWS, Google Cloud, IBM, Microsoft Azure, Oracle",internal review,detailed,completed
req-0162,"Monitor automotive trends, risks and strategic implications for Middle East",Automotive,Middle East,2025-2026,"Toyota, Hyundai, BMW, Tesla, Volkswagen",proposal,deep dive,running
req-0163,Evaluate cloud computing market entry and growth opportunities in Middle East,Cloud Computing,Middle East,2022-2026,"Google Cloud, Oracle, IBM, AWS, Microsoft Azure",strategy brief,deep dive,completed
req-0164,Analyze renewable energy competitive landscape and regulation in United Kingdom,Renewable Energy,United Kingdom,2023-2026,"Adani Green, NTPC",strategy brief,detailed,completed
req-0165,"Monitor semiconductors trends, risks and strategic implications for Australia",Semiconductors,Australia,2025-2026,"AMD, TSMC, Samsung",strategy brief,detailed,pending
req-0166,Evaluate e-commerce market entry and growth opportunities in India,E-commerce,India,2023-2026,"Alibaba, Walmart, Amazon, Flipkart",strategy brief,detailed,completed
req-0167,Evaluate e-commerce market entry and growth opportunities in India,E-commerce,India,2023-2026,"Walmart, Shopify",workshop,standard,completed
req-0168,"Monitor e-commerce trends, risks and strategic implications for United Kingdom",E-commerce,United Kingdom,2023-2026,"Walmart, Alibaba, Amazon",internal review,deep dive,pending
req-0169,Evaluate healthcare technology market entry and growth opportunities in Middle East,Healthcare Technology,Middle East,2024-2026,"Abbott, Medtronic, Siemens Healthineers, GE HealthCare, Philips",strategy brief,standard,completed
req-0170,"Monitor semiconductors trends, risks and strategic implications for United Kingdom",Semiconductors,United Kingdom,2024-2026,"NVIDIA, Samsung, Intel, TSMC",proposal,detailed,completed
req-0171,Evaluate consumer goods market entry and growth opportunities in Southeast Asia,Consumer Goods,Southeast Asia,2022-2026,"Coca-Cola, Unilever",proposal,detailed,pending
req-0172,Assess electric vehicles competitor movement in United States from 2024 to 2026,Electric Vehicles,United States,2024-2026,"Hyundai, Tata Motors",internal review,standard,completed
