source_id,request_id,url,source_type,title,publisher,retrieval_date,quality_score,relevance_score
src-00027,req-0321,https://company.example/research/generative-ai/00027,government,Generative AI: Competitor Movement update for Canada,Financial press,2024-10-27,82,91
src-00028,req-0351,https://news.example/research/industrial-automation/00028,news,Industrial Automation: Customer Behavior update for United States,Industry association,2024-04-13,71,92
src-00029,req-0157,https://research.example/research/e-commerce/00029,industry source,E-commerce: Regulation update for Canada,Research publication,2025-03-05,70,68
src-00030,req-0011,https://company.example/research/renewable-energy/00030,company source,Renewable Energy: Technology Adoption update for Global,Market data provider,2024-02-07,70,78
src-00031,req-0119,https://industry.example/research/automotive/00031,regulatory,Automotive: Partnerships update for Southeast Asia,Market data provider,2024-02-27,73,97
src-00032,req-0198,https://research.example/research/consumer-goods/00032,government,Consumer Goods: Technology Adoption update for Japan,Research publication,2025-11-16,95,76
src-00033,req-0237,https://gov.example/research/automotive/00033,news,Automotive: Market Growth update for United Kingdom,Investor presentation,2026-03-31,66,92
src-00034,req-0293,https://industry.example/research/e-commerce/00034,government,E-commerce: Customer Behavior update for Southeast Asia,Research publication,2026-03-16,83,90
src-00035,req-0004,https://company.example/research/cloud-computing/00035,research report,Cloud Computing: Value Leakage update for United States,Government statistics,2025-03-12,86,98
src-00036,req-0435,https://news.example/research/semiconductors/00036,industry source,Semiconductors: Regulation update for India,Regulatory authority,2024-09-02,88,82
src-00037,req-0281,https://news.example/research/cybersecurity/00037,industry source,Cybersecurity: Product Launches update for Middle East,Company filing,2025-07-04,82,76
src-00038,req-0254,https://company.example/research/telecom/00038,regulatory,Telecom: Technology Adoption update for Canada,Regulatory authority,2024-12-09,67,57
src-00039,req-0365,https://research.example/research/cybersecurity/00039,industry source,Cybersecurity: Customer Behavior update for Australia,Company newsroom,2025-02-08,94,63
src-00040,req-0442,https://regulator.example/research/healthcare-technology/00040,news,Healthcare Technology: Product Launches update for India,Research publication,2025-07-16,62,70
src-00041,req-0120,https://research.example/research/e-commerce/00041,regulatory,E-commerce: Competitor Movement update for Japan,Company filing,2024-08-05,80,81
src-00042,req-0007,https://regulator.example/research/healthcare-technology/00042,regulatory,Healthcare Technology: Competitor Movement update for Japan,Regulatory authority,2025-09-15,96,81
src-00043,req-0414,https://industry.example/research/automotive/00043,industry source,Automotive: Supply Chain update for Middle East,Regulatory authority,2025-11-28,64,56
src-00044,req-0306,https://company.example/research/consumer-goods/00044,government,Consumer Goods: Customer Behavior update for Southeast Asia,Investor presentation,2025-07-28,91,85
src-00045,req-0309,https://gov.example/research/logistics/00045,regulatory,Logistics: Product Launches update for Southeast Asia,Company newsroom,2024-10-05,78,85
src-00046,req-0129,https://regulator.example/research/banking/00046,company source,Banking: Regulation update for Southeast Asia,Market data provider,2026-07-13,86,74
src-00047,req-0210,https://gov.example/research/banking/00047,company source,Banking: Market Size update for Middle East,Industry association,2024-06-06,67,98
src-00048,req-0268,https://industry.example/research/electric-vehicles/00048,news,Electric Vehicles: Market Growth update for India,Company filing,2024-09-20,66,75
src-00049,req-0426,https://news.example/research/fintech/00049,regulatory,FinTech: Market Size update for India,Market data provider,2025-05-31,75,77
src-00050,req-0365,https://industry.example/research/cybersecurity/00050,regulatory,Cybersecurity: Regulation update for Australia,Company filing,2024-04-08,96,88
src-00051,req-0198,https://company.example/research/consumer-goods/00051,government,Consumer Goods: Value Leakage update for Japan,Financial press,2024-10-02,81,90
src-00052,req-0039,https://research.example/research/semiconductors/00052,regulatory,Semiconductors: Investment Trends update for Europe,Company newsroom,2024-07-12,67,64
src-00053,req-0425,https://company.example/research/renewable-energy/00053,news,Renewable Energy: Customer Behavior update for United Kingdom,Industry association,2024-06-26,81,63
src-00054,req-0191,https://regulator.example/research/banking/00054,company source,Banking: Market Size update for Japan,Industry association,2024-06-10,95,84
src-00055,req-0195,https://gov.example/research/cloud-computing/00055,regulatory,Cloud Computing: Investment Trends update for Global,Financial press,2025-07-07,64,78
src-00056,req-0359,https://industry.example/research/telecom/00056,news,Telecom: Product Launches update for United Kingdom,Government statistics,2024-01-07,82,94
src-00057,req-0455,https://regulator.example/research/telecom/00057,news,Telecom: Technology Adoption update for Global,Company newsroom,2026-03-05,70,79
src-00058,req-0397,https://news.example/research/semiconductors/00058,industry source,Semiconductors: Working Capital update for United States,Research publication,2024-01-28,92,73
src-00059,req-0284,https://regulator.example/research/telecom/00059,news,Telecom: Investment Trends update for United Kingdom,Trade publication,2026-05-08,90,80
src-00060,req-0115,https://industry.example/research/generative-ai/00060,regulatory,Generative AI: Regulation update for United States,Industry association,2025-08-05,87,84
src-00061,req-0279,https://industry.example/research/fintech/00061,industry source,FinTech: Partnerships update for United States,Research publication,2024-10-20,71,71
src-00062,req-0128,https://industry.example/research/semiconductors/00062,industry source,Semiconductors: Partnerships update for United States,Regulatory authority,2025-03-31,90,82
src-00063,req-0202,https://news.example/research/fintech/00063,company source,FinTech: Value Leakage update for Global,Industry association,2024-07-08,77,94
src-00064,req-0258,https://industry.example/research/electric-vehicles/00064,government,Electric Vehicles: Pricing & Demand update for Europe,Financial press,2026-07-31,85,77
src-00065,req-0392,https://research.example/research/healthcare-technology/00065,research report,Healthcare Technology: Working Capital update for United Kingdom,Financial press,2026-02-28,63,77
src-00066,req-0192,https://industry.example/research/automotive/00066,research report,Automotive: Working Capital update for Global,Research publication,2025-01-25,97,83
src-00067,req-0348,https://news.example/research/telecom/00067,company source,Telecom: Competitor Movement update for Europe,Market data provider,2025-09-03,91,97
src-00068,req-0440,https://company.example/research/generative-ai/00068,news,Generative AI: Technology Adoption update for Global,Company filing,2025-11-21,91,59
src-00069,req-0151,https://regulator.example/research/industrial-automation/00069,industry source,Industrial Automation: Risk & Exposure update for Canada,Trade publication,2025-12-03,77,74
src-00070,req-0472,https://regulator.example/research/automotive/00070,regulatory,Automotive: Operational Efficiency update for Europe,Regulatory authority,2025-03-21,91,62
src-00071,req-0270,https://gov.example/research/banking/00071,news,Banking: Supply Chain update for Southeast Asia,Investor presentation,2024-03-26,93,83
src-00072,req-0475,https://company.example/research/cloud-computing/00072,news,Cloud Computing: Working Capital update for Middle East,Regulatory authority,2026-01-13,68,91
src-00073,req-0488,https://regulator.example/research/consumer-goods/00073,research report,Consumer Goods: Regulation update for United States,Government statistics,2026-08-04,79,92
src-00074,req-0089,https://company.example/research/healthcare-technology/00074,company source,Healthcare Technology: Value Leakage update for Global,Company newsroom,2025-06-02,63,65
src-00075,req-0288,https://news.example/research/generative-ai/00075,industry source,Generative AI: Investment Trends update for India,Company newsroom,2024-01-13,94,82
src-00076,req-0360,https://industry.example/research/cybersecurity/00076,government,Cybersecurity: Regulation update for Global,Research publication,2026-02-07,75,56
src-00077,req-0242,https://industry.example/research/industrial-automation/00077,research report,Industrial Automation: Customer Behavior update for Canada,Government statistics,2025-04-25,88,62
src-00078,req-0357,https://gov.example/research/consumer-goods/00078,research report,Consumer Goods: Market Size update for Canada,Company newsroom,2024-12-31,86,75
src-00079,req-0072,https://industry.example/research/renewable-energy/00079,research report,Renewable Energy: Market Growth update for Japan,Regulatory authority,2025-09-20,70,88
src-00080,req-0353,https://regulator.example/research/healthcare-technology/00080,company source,Healthcare Technology: Market Growth update for Southeast Asia,Industry association,2025-07-28,76,73
src-00081,req-0389,https://company.example/research/semiconductors/00081,industry source,Semiconductors: Customer Behavior update for Southeast Asia,Trade publication,2025-09-21,92,90
src-00082,req-0297,https://research.example/research/banking/00082,news,Banking: Market Growth update for Australia,Company newsroom,2024-09-10,98,84
src-00083,req-0258,https://research.example/research/electric-vehicles/00083,regulatory,Electric Vehicles: Competitor Movement update for Europe,Research publication,2026-01-09,89,77
src-00084,req-0098,https://gov.example/research/semiconductors/00084,company source,Semiconductors: Risk & Exposure update for United Kingdom,Market data provider,2026-02-14,89,57
src-00085,req-0157,https://regulator.example/research/e-commerce/00085,news,E-commerce: Customer Behavior update for Canada,Market data provider,2025-12-24,89,56
src-00086,req-0176,https://industry.example/research/generative-ai/00086,industry source,Generative AI: Regulation update for Southeast Asia,Regulatory authority,2026-04-28,70,91
src-00087,req-0361,https://industry.example/research/consumer-goods/00087,industry source,Consumer Goods: Product Launches update for United States,Research publication,2025-04-21,77,99
src-00088,req-0196,https://industry.example/research/healthcare-technology/00088,government,Healthcare Technology: Customer Behavior update for Southeast Asia,Government statistics,2024-12-24,82,58
src-00089,req-0377,https://research.example/research/e-commerce/00089,news,E-commerce: Investment Trends update for Canada,Trade publication,2024-03-13,83,62
src-00090,req-0405,https://company.example/research/automotive/00090,regulatory,Automotive: Supply Chain update for United States,Company newsroom,2024-08-04,97,68
src-00091,req-0283,https://news.example/research/electric-vehicles/00091,company source,Electric Vehicles: Supply Chain update for Australia,Research publication,2025-01-14,99,99
src-00092,req-0142,https://regulator.example/research/healthcare-technology/00092,industry source,Healthcare Technology: Investment Trends update for United States,Financial press,2025-01-27,98,72
src-00093,req-0427,https://news.example/research/cloud-computing/00093,regulatory,Cloud Computing: Partnerships update for Southeast Asia,Company filing,2024-10-19,89,65
src-00094,req-0131,https://news.example/research/banking/00094,company source,Banking: Market Growth update for Global,Market data provider,2025-05-10,93,86
src-00095,req-0382,https://gov.example/research/renewable-energy/00095,company source,Renewable Energy: Supply Chain update for Middle East,Company filing,2025-09-04,67,71
src-00096,req-0243,https://gov.example/research/healthcare-technology/00096,industry source,Healthcare Technology: Investment Trends update for United States,Investor presentation,2025-12-21,79,63
src-00097,req-0144,https://news.example/research/industrial-automation/00097,industry source,Industrial Automation: Market Size update for India,Industry association,2025-09-23,96,69
src-00098,req-0236,https://news.example/research/cloud-computing/00098,research report,Cloud Computing: Regulation update for Japan,Research publication,2024-04-18,62,85
src-00099,req-0442,https://news.example/research/healthcare-technology/00099,research report,Healthcare Technology: Partnerships update for India,Financial press,2024-09-26,97,86
src-00100,req-0500,https://regulator.example/research/telecom/00100,regulatory,Telecom: Technology Adoption update for United Kingdom,Trade publication,2024-10-06,83,75
src-00101,req-0200,https://gov.example/research/industrial-automation/00101,government,Industrial Automation: Regulation update for Australia,Regulatory authority,2024-07-13,68,80
src-00102,req-0394,https://news.example/research/industrial-automation/00102,company source,Industrial Automation: Risk & Exposure update for Japan,Government statistics,2026-03-24,65,77
src-00103,req-0327,https://gov.example/research/cybersecurity/00103,government,Cybersecurity: Pricing & Demand update for India,Industry association,2024-12-25,71,72
src-00104,req-0490,https://regulator.example/research/automotive/00104,news,Automotive: Market Size update for India,Government statistics,2024-01-10,78,80
src-00105,req-0013,https://industry.example/research/cloud-computing/00105,news,Cloud Computing: Regulation update for Global,Trade publication,2025-04-07,95,87
src-00106,req-0214,https://regulator.example/research/logistics/00106,government,Logistics: Competitor Movement update for Middle East,Government statistics,2024-06-26,84,85
src-00107,req-0132,https://research.example/research/automotive/00107,government,Automotive: Working Capital update for Europe,Research publication,2024-02-23,83,96
src-00108,req-0177,https://industry.example/research/e-commerce/00108,government,E-commerce: Regulation update for Global,Research publication,2026-01-03,93,60
src-00109,req-0360,https://company.example/research/cybersecurity/00109,government,Cybersecurity: Working Capital update for Global,Company filing,2025-07-20,69,56
src-00110,req-0374,https://industry.example/research/logistics/00110,research report,Logistics: Competitor Movement update for Middle East,Company newsroom,2024-02-25,78,99
src-00111,req-0072,https://regulator.example/research/renewable-energy/00111,company source,Renewable Energy: Product Launches update for Japan,Company filing,2025-02-05,81,67
src-00112,req-0444,https://gov.example/research/fintech/00112,company source,FinTech: Investment Trends update for Canada,Research publication,2025-05-24,88,93
src-00113,req-0260,https://industry.example/research/cloud-computing/00113,regulatory,Cloud Computing: Market Size update for United States,Industry association,2024-11-28,83,79
src-00114,req-0263,https://regulator.example/research/logistics/00114,government,Logistics: Customer Behavior update for Europe,Trade publication,2025-07-01,99,60
src-00115,req-0088,https://company.example/research/cloud-computing/00115,company source,Cloud Computing: Product Launches update for Canada,Government statistics,2026-03-24,69,56
src-00116,req-0142,https://gov.example/research/healthcare-technology/00116,government,Healthcare Technology: Regulation update for United States,Company newsroom,2025-10-02,89,66
src-00117,req-0065,https://news.example/research/automotive/00117,government,Automotive: Risk & Exposure update for Global,Company newsroom,2026-06-15,62,96
src-00118,req-0314,https://industry.example/research/e-commerce/00118,regulatory,E-commerce: Pricing & Demand update for Global,Industry association,2025-09-04,99,75
src-00119,req-0253,https://news.example/research/fintech/00119,regulatory,FinTech: Product Launches update for Southeast Asia,Company filing,2024-03-18,70,57
src-00120,req-0038,https://industry.example/research/renewable-energy/00120,research report,Renewable Energy: Customer Behavior update for Europe,Trade publication,2025-01-29,80,68
src-00121,req-0483,https://gov.example/research/automotive/00121,industry source,Automotive: Value Leakage update for Southeast Asia,Company filing,2026-06-07,67,66
src-00122,req-0393,https://research.example/research/generative-ai/00122,company source,Generative AI: Market Growth update for Europe,Research publication,2024-05-26,62,56
src-00123,req-0221,https://industry.example/research/telecom/00123,government,Telecom: Technology Adoption update for United Kingdom,Company newsroom,2024-04-16,67,56
src-00124,req-0090,https://industry.example/research/renewable-energy/00124,research report,Renewable Energy: Investment Trends update for United States,Financial press,2025-01-12,73,79
src-00125,req-0223,https://gov.example/research/cybersecurity/00125,news,Cybersecurity: Regulation update for United Kingdom,Market data provider,2024-05-16,83,88
src-00126,req-0291,https://research.example/research/telecom/00126,company source,Telecom: Market Size update for Japan,Company filing,2025-07-31,67,89
src-00127,req-0326,https://research.example/research/cybersecurity/00127,research report,Cybersecurity: Operational Efficiency update for Australia,Financial press,2024-02-20,69,74
src-00128,req-0231,https://company.example/research/consumer-goods/00128,company source,Consumer Goods: Technology Adoption update for Global,Research publication,2024-12-14,75,66
src-00129,req-0063,https://company.example/research/consumer-goods/00129,industry source,Consumer Goods: Value Leakage update for India,Industry association,2026-02-01,69,55
src-00130,req-0011,https://company.example/research/renewable-energy/00130,research report,Renewable Energy: Supply Chain update for Global,Company filing,2025-09-26,76,96
src-00131,req-0135,https://research.example/research/fintech/00131,government,FinTech: Regulation update for United States,Government statistics,2026-05-15,67,84
src-00132,req-0234,https://regulator.example/research/semiconductors/00132,research report,Semiconductors: Competitor Movement update for Canada,Financial press,2025-06-14,90,61
src-00133,req-0329,https://regulator.example/research/healthcare-technology/00133,company source,Healthcare Technology: Technology Adoption update for Europe,Company filing,2025-08-05,71,95
src-00134,req-0207,https://research.example/research/semiconductors/00134,government,Semiconductors: Regulation update for Europe,Company newsroom,2025-08-09,91,65
src-00135,req-0428,https://regulator.example/research/automotive/00135,company source,Automotive: Pricing & Demand update for Japan,Financial press,2025-06-16,68,68
src-00136,req-0012,https://news.example/research/electric-vehicles/00136,government,Electric Vehicles: Market Size update for Australia,Company newsroom,2025-07-04,66,57
src-00137,req-0175,https://research.example/research/generative-ai/00137,regulatory,Generative AI: Competitor Movement update for United Kingdom,Regulatory authority,2024-12-03,82,88
src-00138,req-0403,https://research.example/research/cybersecurity/00138,government,Cybersecurity: Regulation update for Japan,Industry association,2026-07-18,70,56
src-00139,req-0493,https://industry.example/research/fintech/00139,regulatory,FinTech: Supply Chain update for Middle East,Investor presentation,2024-02-18,84,96
src-00140,req-0366,https://news.example/research/banking/00140,news,Banking: Competitor Movement update for Japan,Trade publication,2025-03-25,87,65
src-00141,req-0334,https://gov.example/research/renewable-energy/00141,regulatory,Renewable Energy: Technology Adoption update for Middle East,Industry association,2026-01-14,69,67
src-00142,req-0158,https://news.example/research/industrial-automation/00142,regulatory,Industrial Automation: Market Growth update for Southeast Asia,Research publication,2024-06-14,98,61
src-00143,req-0341,https://gov.example/research/telecom/00143,government,Telecom: Product Launches update for Japan,Financial press,2024-05-12,76,61
src-00144,req-0224,https://regulator.example/research/e-commerce/00144,industry source,E-commerce: Investment Trends update for Canada,Company filing,2026-08-22,98,96
src-00145,req-0230,https://gov.example/research/electric-vehicles/00145,company source,Electric Vehicles: Technology Adoption update for United States,Investor presentation,2025-06-17,63,80
src-00146,req-0293,https://company.example/research/e-commerce/00146,government,E-commerce: Working Capital update for Southeast Asia,Government statistics,2025-11-04,88,93
src-00147,req-0406,https://regulator.example/research/logistics/00147,company source,Logistics: Product Launches update for India,Company newsroom,2026-02-16,73,68
src-00148,req-0165,https://company.example/research/semiconductors/00148,government,Semiconductors: Customer Behavior update for Australia,Investor presentation,2024-10-10,79,87
src-00149,req-0043,https://news.example/research/generative-ai/00149,regulatory,Generative AI: Partnerships update for Europe,Market data provider,2025-12-14,81,68
src-00150,req-0234,https://gov.example/research/semiconductors/00150,industry source,Semiconductors: Market Size update for Canada,Regulatory authority,2026-05-19,85,79
src-00151,req-0336,https://research.example/research/generative-ai/00151,regulatory,Generative AI: Partnerships update for Global,Company filing,2025-08-19,99,79
src-00152,req-0500,https://regulator.example/research/telecom/00152,government,Telecom: Risk & Exposure update for United Kingdom,Research publication,2025-06-16,79,70
src-00153,req-0500,https://gov.example/research/telecom/00153,industry source,Telecom: Market Size update for United Kingdom,Government statistics,2025-04-22,76,95
src-00154,req-0227,https://company.example/research/renewable-energy/00154,regulatory,Renewable Energy: Working Capital update for United States,Company filing,2025-09-15,90,89
src-00155,req-0356,https://regulator.example/research/cybersecurity/00155,regulatory,Cybersecurity: Competitor Movement update for Canada,Trade publication,2025-02-22,73,96
src-00156,req-0392,https://research.example/research/healthcare-technology/00156,government,Healthcare Technology: Product Launches update for United Kingdom,Investor presentation,2026-02-01,90,71
src-00157,req-0410,https://gov.example/research/telecom/00157,industry source,Telecom: Regulation update for India,Research publication,2025-11-24,64,76
src-00158,req-0441,https://research.example/research/semiconductors/00158,company source,Semiconductors: Working Capital update for India,Research publication,2026-04-30,75,92
src-00159,req-0103,https://company.example/research/healthcare-technology/00159,regulatory,Healthcare Technology: Regulation update for United States,Financial press,2026-02-11,79,95
src-00160,req-0480,https://news.example/research/fintech/00160,industry source,FinTech: Risk & Exposure update for United Kingdom,Trade publication,2024-02-25,85,87
src-00161,req-0372,https://regulator.example/research/semiconductors/00161,government,Semiconductors: Pricing & Demand update for Australia,Industry association,2026-06-13,62,96
src-00162,req-0488,https://gov.example/research/consumer-goods/00162,news,Consumer Goods: Market Growth update for United States,Investor presentation,2025-05-23,64,97
src-00163,req-0498,https://research.example/research/fintech/00163,industry source,FinTech: Working Capital update for Australia,Investor presentation,2026-08-23,88,82
src-00164,req-0107,https://gov.example/research/cloud-computing/00164,research report,Cloud Computing: Partnerships update for Japan,Regulatory authority,2024-09-23,88,84
src-00165,req-0212,https://news.example/research/banking/00165,research report,Banking: Customer Behavior update for Japan,Research publication,2025-06-08,88,62
src-00166,req-0031,https://gov.example/research/generative-ai/00166,regulatory,Generative AI: Partnerships update for Southeast Asia,Regulatory authority,2024-10-21,68,79
src-00167,req-0125,https://news.example/research/banking/00167,government,Banking: Regulation update for Japan,Company filing,2026-02-12,76,81
src-00168,req-0088,https://gov.example/research/cloud-computing/00168,government,Cloud Computing: Value Leakage update for Canada,Company filing,2024-08-09,96,81
src-00169,req-0112,https://news.example/research/electric-vehicles/00169,regulatory,Electric Vehicles: Competitor Movement update for Australia,Company newsroom,2024-02-29,85,57
src-00170,req-0454,https://news.example/research/cloud-computing/00170,research report,Cloud Computing: Supply Chain update for India,Investor presentation,2025-01-24,96,66
src-00171,req-0175,https://news.example/research/generative-ai/00171,research report,Generative AI: Technology Adoption update for United Kingdom,Trade publication,2025-10-25,93,96
src-00172,req-0194,https://regulator.example/research/cloud-computing/00172,government,Cloud Computing: Supply Chain update for India,Company filing,2024-04-07,75,95
src-00173,req-0091,https://news.example/research/generative-ai/00173,government,Generative AI: Product Launches update for Japan,Government statistics,2026-04-03,89,78
src-00174,req-0365,https://gov.example/research/cybersecurity/00174,government,Cybersecurity: Pricing & Demand update for Australia,Financial press,2025-09-10,66,58
src-00175,req-0129,https://gov.example/research/banking/00175,news,Banking: Operational Efficiency update for Southeast Asia,Company filing,2026-05-04,99,81
src-00176,req-0433,https://research.example/research/generative-ai/00176,research report,Generative AI: Operational Efficiency update for Southeast Asia,Trade publication,2024-04-07,81,66
src-00177,req-0373,https://industry.example/research/renewable-energy/00177,regulatory,Renewable Energy: Risk & Exposure update for Australia,Research publication,2025-08-28,88,78
src-00178,req-0384,https://gov.example/research/cybersecurity/00178,regulatory,Cybersecurity: Product Launches update for Canada,Regulatory authority,2024-10-14,92,70
src-00179,req-0464,https://company.example/research/automotive/00179,research report,Automotive: Value Leakage update for Japan,Company filing,2024-07-02,69,76
src-00180,req-0017,https://industry.example/research/logistics/00180,research report,Logistics: Technology Adoption update for Australia,Industry association,2025-05-21,94,74
src-00181,req-0004,https://industry.example/research/cloud-computing/00181,company source,Cloud Computing: Market Growth update for United States,Company filing,2026-05-10,91,80
src-00182,req-0225,https://gov.example/research/cybersecurity/00182,company source,Cybersecurity: Market Size update for India,Investor presentation,2024-09-02,84,95
src-00183,req-0357,https://company.example/research/consumer-goods/00183,news,Consumer Goods: Partnerships update for Canada,Industry association,2024-02-06,78,66
src-00184,req-0360,https://research.example/research/cybersecurity/00184,research report,Cybersecurity: Market Growth update for Global,Trade publication,2026-04-21,67,56
src-00185,req-0115,https://gov.example/research/generative-ai/00185,regulatory,Generative AI: Technology Adoption update for United States,Investor presentation,2024-10-31,93,65
src-00186,req-0396,https://regulator.example/research/e-commerce/00186,company source,E-commerce: Supply Chain update for Global,Industry association,2024-09-04,64,75
src-00187,req-0207,https://regulator.example/research/semiconductors/00187,government,Semiconductors: Regulation update for Europe,Industry association,2024-07-27,66,74
src-00188,req-0008,https://regulator.example/research/renewable-energy/00188,industry source,Renewable Energy: Product Launches update for Australia,Government statistics,2025-01-29,80,78
src-00189,req-0035,https://industry.example/research/logistics/00189,industry source,Logistics: Technology Adoption update for Europe,Government statistics,2024-01-02,66,74
src-00190,req-0042,https://regulator.example/research/cybersecurity/00190,government,Cybersecurity: Technology Adoption update for Canada,Company newsroom,2025-11-20,63,75
src-00191,req-0004,https://regulator.example/research/cloud-computing/00191,company source,Cloud Computing: Working Capital update for United States,Regulatory authority,2025-11-08,98,61
src-00192,req-0498,https://regulator.example/research/fintech/00192,research report,FinTech: Market Growth update for Australia,Company filing,2024-11-29,82,71
src-00193,req-0433,https://gov.example/research/generative-ai/00193,research report,Generative AI: Market Size update for Southeast Asia,Research publication,2025-08-16,80,63
src-00194,req-0021,https://company.example/research/telecom/00194,company source,Telecom: Operational Efficiency update for Australia,Government statistics,2025-05-15,86,98
src-00195,req-0215,https://news.example/research/industrial-automation/00195,regulatory,Industrial Automation: Customer Behavior update for Middle East,Industry association,2024-10-11,81,88
src-00196,req-0355,https://industry.example/research/logistics/00196,company source,Logistics: Technology Adoption update for Middle East,Research publication,2026-06-13,71,63
src-00197,req-0350,https://research.example/research/banking/00197,research report,Banking: Value Leakage update for Canada,Company newsroom,2026-01-26,78,78
src-00198,req-0215,https://regulator.example/research/industrial-automation/00198,industry source,Industrial Automation: Value Leakage update for Middle East,Trade publication,2024-01-07,89,77
src-00199,req-0499,https://news.example/research/automotive/00199,news,Automotive: Working Capital update for United States,Industry association,2025-10-01,64,95
src-00200,req-0037,https://gov.example/research/e-commerce/00200,industry source,E-commerce: Pricing & Demand update for Japan,Market data provider,2024-11-21,65,84
src-00201,req-0434,https://research.example/research/automotive/00201,news,Automotive: Investment Trends update for Canada,Research publication,2025-09-23,89,58
src-00202,req-0170,https://industry.example/research/semiconductors/00202,government,Semiconductors: Partnerships update for United Kingdom,Research publication,2024-03-16,64,56
src-00203,req-0347,https://news.example/research/e-commerce/00203,industry source,E-commerce: Regulation update for United States,Government statistics,2024-08-04,65,66
src-00204,req-0475,https://gov.example/research/cloud-computing/00204,regulatory,Cloud Computing: Pricing & Demand update for Middle East,Investor presentation,2024-10-29,86,87
src-00205,req-0017,https://gov.example/research/logistics/00205,regulatory,Logistics: Investment Trends update for Australia,Investor presentation,2025-02-21,99,94
src-00206,req-0297,https://news.example/research/banking/00206,industry source,Banking: Customer Behavior update for Australia,Industry association,2026-02-20,72,85
src-00207,req-0010,https://news.example/research/industrial-automation/00207,research report,Industrial Automation: Supply Chain update for Middle East,Regulatory authority,2024-12-31,62,57
src-00208,req-0367,https://regulator.example/research/banking/00208,news,Banking: Partnerships update for United States,Company newsroom,2026-03-20,94,87
src-00209,req-0386,https://gov.example/research/generative-ai/00209,news,Generative AI: Technology Adoption update for Global,Research publication,2026-07-11,98,61
